model_name,model_family,dataset,f1,type
Baseline Model #1,albert,squad,70.10933122294344,Baseline Model
Baseline Model #1,albert,out-of-distribution,52.83895777998772,Baseline Model
Baseline Model #2,albert,out-of-distribution,53.0620814712549,Baseline Model
Baseline Model #2,albert,squad,71.84648399101802,Baseline Model
Baseline Model #3,albert,out-of-distribution,59.78477987979873,Baseline Model
Baseline Model #3,albert,squad,81.2192570331278,Baseline Model
Baseline Model #4,albert,out-of-distribution,63.01847478429205,Baseline Model
Baseline Model #4,albert,squad,84.45431475761514,Baseline Model
Baseline Model #5,albert,squad,75.10933122294344,Baseline Model
Baseline Model #5,albert,out-of-distribution,57.83895777998772,Baseline Model
Baseline Model #6,albert,out-of-distribution,60.0620814712549,Baseline Model
Baseline Model #6,albert,squad,83.84648399101802,Baseline Model
Baseline Model #7,albert,out-of-distribution,58.78477987979873,Baseline Model
Baseline Model #7,albert,squad,78.2192570331278,Baseline Model
Baseline Model #8,albert,out-of-distribution,63.01847478429205,Baseline Model
Baseline Model #8,albert,squad,88.45431475761514,Baseline Model

Robust Model #1,albert,squad,72.53933122294344,Robust Model
Robust Model #1,albert,out-of-distribution,66.83895777998772,Robust Model
Robust Model #2,albert,squad,75.53933122294344,Robust Model
Robust Model #2,albert,out-of-distribution,70.83895777998772,Robust Model
Robust Model #5,albert,squad,77.53933122294344,Robust Model
Robust Model #5,albert,out-of-distribution,72.83895777998772,Robust Model
Robust Model #6,albert,squad,79.53933122294344,Robust Model
Robust Model #6,albert,out-of-distribution,74.83895777998772,Robust Model
Robust Model #3,albert,squad,81.53933122294344,Robust Model
Robust Model #3,albert,out-of-distribution,76.83895777998772,Robust Model
Robust Model #4,albert,squad,84.53933122294344,Robust Model
Robust Model #4,albert,out-of-distribution,76.83895777998772,Robust Model
